city,year,temperature,area,district,month,quarter
Nam Định,2017,24.4,Đồng Bằng Sông Hồng,Phú Nhuận,12,quarter 4
Nam Định,2018,24.5,Đồng Bằng Sông Hồng,Cẩm Lệ,7,quarter 3
Nam Định,2019,25.3,Đồng Bằng Sông Hồng,Nam Từ Liêm,7,quarter 3
Vinh,2006,25.1,Đồng Bằng Sông Cửu Long,Quận 6,10,quarter 4
Vinh,2007,24.9,Đồng Bằng Sông Cửu Long,Tây Hồ,11,quarter 4
Vinh,2008,24.1,Đồng Bằng Sông Cửu Long,Cẩm Lệ,2,quarter 1
Vinh,2009,25.0,Đồng Bằng Sông Cửu Long,Kiến An,9,quarter 3
Vinh,2010,25.3,Đồng Bằng Sông Cửu Long,Quận 11,11,quarter 4
Vinh,2011,23.3,Đồng Bằng Sông Cửu Long,Cầu Giấy,4,quater 2
Vinh,2012,24.8,Đồng Bằng Sông Cửu Long,Quận 4,1,quarter 1
Vinh,2013,24.5,Đồng Bằng Sông Cửu Long,Hai Bà Trưng,4,quater 2
Vinh,2014,24.8,Đồng Bằng Sông Cửu Long,Quận 7,6,quater 2
Vinh,2015,25.5,Đồng Bằng Sông Cửu Long,Hà Đông,9,quarter 3
Vinh,2016,24.9,Đồng Bằng Sông Cửu Long,Tân Bình,10,quarter 4
Vinh,2017,24.9,Đồng Bằng Sông Cửu Long,Quận 12,12,quarter 4
Vinh,2018,24.9,Đồng Bằng Sông Cửu Long,Quận 7,2,quarter 1
Vinh,2019,26.2,Đồng Bằng Sông Cửu Long,Ngũ Hành Sơn,6,quater 2
Huế,2006,25.4,Nam Trung Bộ,Ngũ Hành Sơn,10,quarter 4
Huế,2007,25.0,Nam Trung Bộ,Đồ Sơn,5,quater 2
Huế,2008,24.2,Nam Trung Bộ,Hoàng Mai,7,quarter 3
Huế,2009,25.0,Nam Trung Bộ,Tân Bình,9,quarter 3
Huế,2010,25.4,Nam Trung Bộ,Ngũ Hành Sơn,5,quater 2
Huế,2011,23.8,Nam Trung Bộ,Cẩm Lệ,9,quarter 3
Huế,2012,25.3,Nam Trung Bộ,Ngô Quyền,5,quater 2
Huế,2013,25.0,Nam Trung Bộ,Phú Nhuận,10,quarter 4
Huế,2014,25.3,Nam Trung Bộ,Tân Phú,8,quarter 3
Huế,2015,25.7,Nam Trung Bộ,Cầu Giấy,10,quarter 4
Huế,2016,25.4,Nam Trung Bộ,Quận 4,2,quarter 1
Huế,2017,25.1,Nam Trung Bộ,Bình Thạnh,2,quarter 1
Huế,2018,25.1,Nam Trung Bộ,Đống Đa,7,quarter 3
Huế,2019,26.4,Nam Trung Bộ,Hải An,1,quarter 1
Đà Nẵng,2006,26.3,Nam Trung Bộ,Hải Châu,3,quarter 1
Đà Nẵng,2007,26.2,Nam Trung Bộ,Hải Châu,11,quarter 4
Đà Nẵng,2008,25.5,Nam Trung Bộ,Hải Châu,5,quater 2
Đà Nẵng,2009,26.3,Nam Trung Bộ,Sơn Trà,6,quater 2
Đà Nẵng,2010,26.3,Nam Trung Bộ,Cẩm Lệ,4,quater 2
Đà Nẵng,2011,25.2,Nam Trung Bộ,Cẩm Lệ,6,quater 2
Đà Nẵng,2012,26.5,Nam Trung Bộ,Liên Chiểu,9,quarter 3
Đà Nẵng,2013,26.2,Nam Trung Bộ,Thanh Khê,9,quarter 3
Đà Nẵng,2014,26.3,Nam Trung Bộ,Liên Chiểu,4,quater 2
Đà Nẵng,2015,26.7,Nam Trung Bộ,Thanh Khê,5,quater 2
Đà Nẵng,2016,26.6,Nam Trung Bộ,Liên Chiểu,5,quater 2
Đà Nẵng,2017,26.5,Nam Trung Bộ,Hải Châu,6,quater 2
Đà Nẵng,2018,26.5,Nam Trung Bộ,Hải Châu,1,quarter 1
Đà Nẵng,2019,27.3,Nam Trung Bộ,Liên Chiểu,11,quarter 4
Qui Nhơn,2006,27.4,Đông Nam Bộ,Gò Vấp,8,quarter 3
Qui Nhơn,2007,27.0,Đông Nam Bộ,Hai Bà Trưng,12,quarter 4
Qui Nhơn,2008,26.8,Đông Nam Bộ,Bắc Từ Liêm,2,quarter 1
Qui Nhơn,2009,27.2,Đông Nam Bộ,Thanh Xuân,10,quarter 4
Qui Nhơn,2010,27.4,Đông Nam Bộ,Đồ Sơn,3,quarter 1
Qui Nhơn,2011,26.9,Đông Nam Bộ,Hồng Bàng,6,quater 2
Qui Nhơn,2012,27.7,Đông Nam Bộ,Bình Tân,7,quarter 3
Qui Nhơn,2013,27.2,Đông Nam Bộ,Quận 1,12,quarter 4
Qui Nhơn,2014,27.2,Đông Nam Bộ,Quận 12,5,quater 2
Qui Nhơn,2015,27.5,Đông Nam Bộ,Hoàng Mai,8,quarter 3
Qui Nhơn,2016,27.4,Đông Nam Bộ,Bắc Từ Liêm,1,quarter 1
Qui Nhơn,2017,27.4,Đông Nam Bộ,Quận 7,9,quarter 3
Qui Nhơn,2018,27.6,Đông Nam Bộ,Gò Vấp,1,quarter 1
Qui Nhơn,2019,28.1,Đông Nam Bộ,Ô Môn,8,quarter 3
Pleiku,2006,22.3,Đông Nam Bộ,Quận 11,4,quater 2
Pleiku,2007,22.2,Đông Nam Bộ,Gò Vấp,11,quarter 4
Pleiku,2008,21.8,Đông Nam Bộ,Gò Vấp,11,quarter 4
Pleiku,2009,22.0,Đông Nam Bộ,Quận 7,3,quarter 1
Pleiku,2010,22.0,Đông Nam Bộ,Quận 6,1,quarter 1
Pleiku,2011,21.6,Đông Nam Bộ,Thanh Khê,8,quarter 3
Pleiku,2012,22.5,Đông Nam Bộ,Quận 12,8,quarter 3
Pleiku,2013,22.4,Đông Nam Bộ,Liên Chiểu,11,quarter 4
Pleiku,2014,22.4,Đông Nam Bộ,Bình Thạnh,10,quarter 4
Pleiku,2015,22.9,Đông Nam Bộ,Quận 11,8,quarter 3
Pleiku,2016,23.3,Đông Nam Bộ,Hai Bà Trưng,1,quarter 1
Pleiku,2017,22.8,Đông Nam Bộ,Long Biên,7,quarter 3
Pleiku,2018,22.6,Đông Nam Bộ,Gò Vấp,1,quarter 1
Pleiku,2019,22.9,Đông Nam Bộ,Bình Thủy,10,quarter 4
Đà Lạt,2006,18.3,Nam Trung Bộ,Tân Bình,2,quarter 1
Đà Lạt,2007,18.1,Nam Trung Bộ,Bình Thạnh,4,quater 2
Đà Lạt,2008,18.0,Nam Trung Bộ,Bình Thạnh,12,quarter 4
Đà Lạt,2009,18.2,Nam Trung Bộ,Cầu Giấy,6,quater 2
Đà Lạt,2010,18.2,Nam Trung Bộ,Quận 10,8,quarter 3
Đà Lạt,2011,18.1,Nam Trung Bộ,Cẩm Lệ,4,quater 2
Đà Lạt,2012,18.5,Nam Trung Bộ,Cái Răng,4,quater 2
Đà Lạt,2013,18.4,Nam Trung Bộ,Hà Đông,8,quarter 3
Đà Lạt,2014,18.2,Nam Trung Bộ,Ba Đình,4,quater 2
Đà Lạt,2015,18.5,Nam Trung Bộ,Ô Môn,10,quarter 4
Đà Lạt,2016,19.0,Nam Trung Bộ,Quận 7,8,quarter 3
Đà Lạt,2017,18.7,Nam Trung Bộ,Ngô Quyền,11,quarter 4
Đà Lạt,2018,18.4,Nam Trung Bộ,Hải Châu,10,quarter 4
Đà Lạt,2019,18.5,Nam Trung Bộ,Quận 5,4,quater 2
Nha Trang,2006,27.2,Đông Nam Bộ,Hai Bà Trưng,9,quarter 3
Nha Trang,2007,26.7,Đông Nam Bộ,Hải An,2,quarter 1
Nha Trang,2008,26.6,Đông Nam Bộ,Thốt Nốt,3,quarter 1
Nha Trang,2009,27.0,Đông Nam Bộ,Kiến An,6,quater 2
Nha Trang,2010,27.4,Đông Nam Bộ,Hai Bà Trưng,12,quarter 4
Nha Trang,2011,26.7,Đông Nam Bộ,Quận 4,11,quarter 4
Nha Trang,2012,27.5,Đông Nam Bộ,Bình Thạnh,6,quater 2
Nha Trang,2013,27.2,Đông Nam Bộ,Quận 11,7,quarter 3
Nha Trang,2014,27.1,Đông Nam Bộ,Cẩm Lệ,11,quarter 4
Nha Trang,2015,27.4,Đông Nam Bộ,Lê Chân,12,quarter 4
Nha Trang,2016,27.5,Đông Nam Bộ,Dương Kinh,2,quarter 1
Nha Trang,2017,27.4,Đông Nam Bộ,Bình Thủy,10,quarter 4
Nha Trang,2018,27.4,Đông Nam Bộ,Hải Châu,7,quarter 3
Nha Trang,2019,27.9,Đông Nam Bộ,Ô Môn,1,quarter 1
Vũng Tàu,2006,28.0,Nam Trung Bộ,Quận 7,5,quater 2
Vũng Tàu,2007,27.8,Nam Trung Bộ,Bình Tân,4,quater 2
Vũng Tàu,2008,27.7,Nam Trung Bộ,Ba Đình,9,quarter 3
Vũng Tàu,2009,27.7,Nam Trung Bộ,Hải An,2,quarter 1
Vũng Tàu,2010,27.7,Nam Trung Bộ,Hoàng Mai,12,quarter 4
Vũng Tàu,2011,27.5,Nam Trung Bộ,Cẩm Lệ,6,quater 2
Vũng Tàu,2012,28.0,Nam Trung Bộ,Quận 10,1,quarter 1
Vũng Tàu,2013,28.0,Nam Trung Bộ,Liên Chiểu,2,quarter 1
Vũng Tàu,2014,27.9,Nam Trung Bộ,Ngũ Hành Sơn,4,quater 2
Vũng Tàu,2015,28.1,Nam Trung Bộ,Cẩm Lệ,11,quarter 4
Vũng Tàu,2016,28.3,Nam Trung Bộ,Lê Chân,3,quarter 1
Vũng Tàu,2017,28.0,Nam Trung Bộ,Liên Chiểu,12,quarter 4
Vũng Tàu,2018,27.9,Nam Trung Bộ,Thốt Nốt,9,quarter 3
Vũng Tàu,2019,28.2,Nam Trung Bộ,Hà Đông,2,quarter 1
Cà Mau,2006,27.6,Đồng Bằng Sông Cửu Long,Sơn Trà,6,quater 2
Cà Mau,2007,27.5,Đồng Bằng Sông Cửu Long,Tân Phú,8,quarter 3
Cà Mau,2008,27.2,Đồng Bằng Sông Cửu Long,Phú Nhuận,9,quarter 3
Cà Mau,2009,27.5,Đồng Bằng Sông Cửu Long,Bắc Từ Liêm,4,quater 2
Cà Mau,2010,27.5,Đồng Bằng Sông Cửu Long,Quận 10,12,quarter 4
Cà Mau,2011,27.5,Đồng Bằng Sông Cửu Long,Thanh Xuân,5,quater 2
Cà Mau,2012,27.7,Đồng Bằng Sông Cửu Long,Thanh Xuân,6,quater 2
Cà Mau,2013,27.8,Đồng Bằng Sông Cửu Long,Hoàng Mai,2,quarter 1
Cà Mau,2014,27.7,Đồng Bằng Sông Cửu Long,Đồ Sơn,9,quarter 3
Cà Mau,2015,28.0,Đồng Bằng Sông Cửu Long,Quận 12,10,quarter 4
Cà Mau,2016,28.2,Đồng Bằng Sông Cửu Long,Bình Thủy,2,quarter 1
Cà Mau,2017,27.9,Đồng Bằng Sông Cửu Long,Hà Đông,12,quarter 4
Cà Mau,2018,27.9,Đồng Bằng Sông Cửu Long,Ninh Kiều,7,quarter 3
Cà Mau,2019,28.1,Đồng Bằng Sông Cửu Long,Tân Phú,9,quarter 3
